district,anomaly
คลองสาน,0
คลองสามวา,0
คลองเตย,0
คันนายาว,0
จตุจักร,0
จอมทอง,0
ดอนเมือง,0
ดินแดง,0
ดุสิต,-1
ตลิ่งชัน,0
ทวีวัฒนา,0
ทุ่งครุ,0
ธนบุรี,0
บางกอกน้อย,0
บางกอกใหญ่,0
บางกะปิ,0
บางขุนเทียน,0
บางคอแหลม,0
บางซื่อ,0
บางนา,0
บางบอน,0
บางพลัด,0
บางรัก,0
บางเขน,0
บางแค,0
บึงกุ่ม,0
ปทุมวัน,0
ประเวศ,0
ป้อมปราบศัตรูพ่าย,0
พญาไท,0
พระนคร,0
พระโขนง,0
ภาษีเจริญ,0
มีนบุรี,0
ยานนาวา,0
ราชเทวี,0
ราษฎร์บูรณะ,0
ลาดกระบัง,0
ลาดพร้าว,0
วังทองหลาง,0
วัฒนา,0
สวนหลวง,0
สะพานสูง,0
สัมพันธวงศ์,0
สาทร,0
สายไหม,0
หนองจอก,0
หนองแขม,0
หลักสี่,0
ห้วยขวาง,0
